codiceBonaccini,descrizione,categoria,prezzoBonaccini,umBonaccini,dataUltimo,quantitaAcquistata,nAcquisti,stato,migliore,differenza
505,ACQUA FRIZZANTE S.BENEDETTO CL.50 PET,"Acqua 0,5 L",4.335,CT,21/05/2026,9.0,4,Confrontabile,Ortofrutticola,-1.455
504,ACQUA NATURALE S.BENEDETTO CL.50 PET,"Acqua 0,5 L",4.335,CT,21/05/2026,34.0,7,Confrontabile,Ortofrutticola,-1.455
182,ACQUA VENTASSO CL.50 PET NATURALE,"Acqua 0,5 L",4.336,CT,28/05/2026,5.0,1,Solo Bonaccini,Bonaccini,
75002,AMARO JAGERMEISTER CL.100,Amari,17.22,BT,28/05/2026,14.0,4,Confrontabile,Ortofrutticola,-3.27
75007,AMARO MONTENEGRO CL.150,Amari,29.655,BT,21/05/2026,4.0,3,Confrontabile,Ortofrutticola,-1.145
81121,APEROL BARBIERI CL.100,Aperitivi/Bitter,13.32,BT,15/04/2026,2.0,1,Confrontabile,Ortofrutticola,-2.35
41602,BIRRA WARSTEINER PREMIUM VERUM FUSTO LT.20,Birre in fusto,53.806,FS,21/05/2026,17.0,4,Solo Bonaccini,Bonaccini,
41601,BIRRA WARSTEINER PREMIUM VERUM FUSTO LT.30,Birre in fusto,75.08,FS,22/04/2026,8.0,3,Solo Bonaccini,Bonaccini,
81138,BITTER CAMPARI CL.100,Aperitivi/Bitter,18.335,BT,21/05/2026,15.0,6,Confrontabile,Ortofrutticola,-3.395
49005,BOMBOLA GAS CO2 KG.10,Servizi/Varie,32.8,BO,21/05/2026,5.0,4,Solo Bonaccini,Bonaccini,
12031,COCA COLA POST-MIX BAG IN BOX LT.20,Cola,230.36,FS,15/04/2026,1.0,1,Solo Bonaccini,Bonaccini,
79009,GIN BEEFEATER CL. 100,Gin,14.718,BT,08/04/2026,12.0,1,Confrontabile,Ortofrutticola,-0.818
79007,GIN BOSFORD CL.100,Gin,11.45,BT,28/05/2026,78.0,7,Confrontabile,Ortofrutticola,-3.46
77898,GIN MALFY DRY GIN CL.70,Gin,24.63,BT,29/04/2026,6.0,2,Confrontabile,Ortofrutticola,-6.63
78991,GIN MARE CL.70,Gin,36.55,BT,15/04/2026,3.0,1,Solo Bonaccini,Bonaccini,
78980,GIN TANQUERAY CL.70,Gin,14.404,BT,29/04/2026,20.0,3,Confrontabile,Ortofrutticola,-1.994
12006,KINLEY BITTER LEMON BAG IN BOX LT.5,Aperitivi/Bitter,59.54,FU,14/05/2026,2.0,2,Solo Bonaccini,Bonaccini,
12005,KINLEY TONICA BAG IN BOX LT.5,Tonica,68.04,FU,21/05/2026,5.0,4,Solo Bonaccini,Bonaccini,
93102,LEMONEE NATY S CL.70,Da classificare,4.25,BT,14/05/2026,5.0,2,Solo Bonaccini,Bonaccini,
10911,LEMONSODA LATTINA,Bibite,11.617,CT,29/04/2026,9.0,2,Solo Bonaccini,Bonaccini,
90001,RED BULL LATTINA CL.25,Energy drink,23.4,CT,21/05/2026,26.0,6,Confrontabile,Ortofrutticola,-1.56
83265,RUM SAO CAN ANEJO CL.100,Rum,16.5,BT,07/05/2026,5.0,2,Solo Bonaccini,Bonaccini,
83264,RUM SAO CAN CARTA BLANCA CL.100,Rum,13.5,BT,07/05/2026,2.0,1,Solo Bonaccini,Bonaccini,
81113,SAMBUCA MOLINARI CL.150,Amari,26.52,BT,08/04/2026,1.0,1,Solo Bonaccini,Bonaccini,
10752,SCHWEPPES LIMONE CL.100,Da classificare,6.21,CT,17/04/2026,1.0,1,Solo Bonaccini,Bonaccini,
10751,SCHWEPPES TONICA CL.100,Tonica,6.21,CT,17/04/2026,1.0,1,Confrontabile,Ortofrutticola,-0.87
10711,SCHWEPPES TONICA LATTINA,Tonica,16.2,CT,29/04/2026,10.0,2,Confrontabile,Ortofrutticola,-3.24
93303,SCIROPPO MARACUJA BOERO CL.75,Sciroppi,9.03,BT,07/05/2026,4.0,3,Solo Bonaccini,Bonaccini,
20213,SUCCO PERA ZUEGG CL.100 BRICK,Succhi,1.74,BT,21/05/2026,2.0,1,Solo Bonaccini,Bonaccini,
81406,TEQUILA SIERRA BLANCO CL.100,Tequila,15.5,BT,28/05/2026,3.0,2,Solo Bonaccini,Bonaccini,
81021,TRIPLE SEC DE KUYPER CL70,Da classificare,13.253,BT,07/05/2026,4.0,2,Solo Bonaccini,Bonaccini,
53221,VB RIBOLLA GIALLA COMEMIVUOI CL.75 Cant.DI LENARDO,Vino bianco,7.093,BT,07/05/2026,3.0,1,Solo Bonaccini,Bonaccini,
80510,VERMOUTH CARPANO CL.100 ROSSO CLASSICO,Vermouth,8.927,BT,08/04/2026,3.0,1,Solo Bonaccini,Bonaccini,
80505,VERMOUTH CINZANO ROSSO CL.100,Vermouth,9.09,BT,21/05/2026,6.0,3,Solo Bonaccini,Bonaccini,
77152,VODKA ABSOLUT CL.70,Vodka,12.595,BT,29/04/2026,20.0,3,Confrontabile,Ortofrutticola,-2.105
77291,VODKA BELVEDERE CL.70,Vodka,29.667,BT,29/04/2026,3.0,1,Solo Bonaccini,Bonaccini,
77101,VODKA WYBOROWA CL.100,Vodka,10.432,BT,21/05/2026,36.0,5,Solo Bonaccini,Bonaccini,
93151,ZUCCHERO LIQUIDO NATY S CL.100,Sciroppi,7.35,BT,14/05/2026,2.0,1,Solo Bonaccini,Bonaccini,
