codice,descrizione,prezzo,pz_x_ct,categoria
17384,BOSFORD GIN LT.1,7.99,6,Gin
26181,"GORDONS GIN CL.70  37,5°",8.35,6,Gin
12028,"GORDONS GIN LT.1 -- 37,5°",10.66,6,Gin
57574,GORDONS GIN PINK PREMIUM CL.70 37.5°,10.87,6,Gin
27501,BOMBAY SAPPHIRE GIN  CL.70  40°,11.5,6,Gin
19874,"TANQUERAY GIN CL.70  43,1°",12.41,6,Gin
78036,BOMBAY BRAMBIE GIN CL.70 37.5°,12.51,6,Gin
26185,BEEFEATER GIN LT.1,13.9,6,Gin
45863,BULLDOG GIN CL.70,15.2,6,Gin
17931,BOMBAY SAPPHIRE GIN LT.1 40°,15.66,6,Gin
23571,TANQUERAY GIN LT.1 43°,15.84,12,Gin
59477,MALFY AROMATIC DRY GIN LEMON CL70 41°,18.0,6,Gin
60625,"TANQUERAY GIN SEVILLA CL.70 41,3°",18.06,6,Gin
52913,BULLDOG GIN LT.1 40°,19.99,6,Gin
59445,ROKU GIN THE JAPANESE CRAFT CL.70 43°,20.33,6,Gin
60177,MALFY DRY GIN POMP ROSA. CL70 41° IMP,21.9,6,Gin
60176,MALFY ORANGE DRY GIN CL.70 41°,22.12,6,Gin
34571I,"HENDRICKS GIN CL.70   41,4° IMP",24.96,6,Gin
34571,HENDRICKS GIN CL.70   44°,24.96,6,Gin
40341,MARE GIN CL.70 42.7°,25.45,6,Gin
23570,TANQUERAY TEN GIN CL.70,25.5,6,Gin
40341I,MARE GIN CL.70 IMP,26.2,6,Gin
51062,HENDRICK'S GIN LT.1  41.4°- IMP,31.25,12,Gin
69126,"HENDRICK'S GIN LUNAR CL.70 43,4°",31.82,6,Gin
65313,HENDRICK'S GIN ORBIUM CL70 43.4°,34.18,6,Gin
87805,MARE GIN LANTERNA CL.70 42.7°,34.28,1,Gin
58118,"MARE GIN LT.1 - imp  42,7",35.7,6,Gin
68437,MARE GIN CAPRI LT1 42.7°,36.78,6,Gin
65584,HENDRICKS GIN AMAZONIA LT.1 43.4,43.36,12,Gin
62239,UNDERBERG AMARO CL.2  44°,0.79,12,Amari
76874,VEGE CACAO IN POLVERE AMARO GR75,1.29,10,Amari
66500,LOCANDA ITALIA BICCHIERE AMARO,1.71,6,Amari
2549,PERUGINA CACAO AMARO GR.75,1.75,36,Amari
89739,ZAINI  CACAO AMARO GR.120,3.29,12,Amari
46814,RISTORA CACAO AMARO GR.250,4.71,12,Amari
44702,CAMPARI AMARO DEL FRATE DIESUS CL.75,4.86,6,Amari
30465,STOCK RADIS AMARO CL.50 32°,5.99,6,Amari
81981,SMANIA AMARO DELL'ELBA CL50 28°,6.0,6,Amari
65845,LOCANDA ITALIA AMARO EL DOMM CL70  32°,6.89,6,Amari
44174,BRANCA CARPANO BIANCO LT.1,7.52,6,Amari
32853,ISOLABELLA AMARO 18 CL.70 30°,7.63,6,Amari
69059,RABARBARO ZUCCA AMARO CL.70 16°,7.7,6,Amari
1811,LUCANO AMARO CL.70       28°,8.0,6,Amari
8365,RAMAZZOTTI SAMBUCA CL.70 38°,8.36,6,Amari
1916,"CYNAR AMARO CL.70  16,5°",8.43,6,Amari
1928,CHINA MARTINI AMARO CL. 70,8.5,6,Amari
16921,BRANCA CARPANO ROSSO CLASSICO  LT.,8.56,6,Amari
65430,BRAULIO GRAPPA RISERVA 18 MESI CL.70 40°,8.78,6,Amari
32925,VECCHIO AMARO DEL CAPO CL.70 35°,8.99,8,Amari
1936,RAMAZZOTTI AMARO CL.70  30°,9.03,6,Amari
1949,AVERNA AMARO CL.70  29°,9.8,6,Amari
10402,BRAULIO AMARO ALPINO CL.70 21°,10.12,6,Amari
11530,LUCANO AMARO LT.1  28°,10.27,6,Amari
1946,PETRUS AMARO CL.70,10.5,6,Amari
1934,JAGERMEISTER AMARO CL.70 35° - IMP,10.55,6,Amari
89950,RAMAZZOTTI SAMBUCA LT1 38°,10.7,6,Amari
1940,BRANCA FERNET AMARO MENTA CL.70   28°,10.91,6,Amari
33454,UNICUM AMARO CL.70,11.04,6,Amari
26358,MONTENEGRO AMARO  CL.70  23°,11.3,8,Amari
70576,CASONI AMARO DEL CICLISTA CL70 26°,11.48,6,Amari
1947I,BRANCA FERNET AMARO CL.70 39°,11.69,6,Amari
12853,CYNAR AMARO LT.1 16.5°,11.95,6,Amari
7910,RAMAZZOTTI AMARO LT.1,12.34,6,Amari
17283,BRANCA STRAVECCHIO BRANDY LT.1,12.5,6,Amari
59033,SAN SIMONE AMARO CL.70 26°,12.92,6,Amari
70860,BRANCA CARPANO BITTER LT.1   25°,12.93,6,Amari
17199,BRAULIO AMARO ALPINO LT.1 21°,13.55,6,Amari
23507,AVERNA AMARO LT.1 29°,13.79,6,Amari
65661,VECCHIO AMARO DEL CAPO RED HOT CL70 35°,13.9,8,Amari
59506,JAGERMEISTER AMARO LT.1 ITA,13.95,6,Amari
83795,AMARO CAMATTI LT1 20°,14.04,6,Amari
8471,UNICUM AMARO LT.1 40°,14.05,6,Amari
34376,DOMENIS AMARO CL.70,14.17,6,Amari
40289,"LUCANO AMARO LT.1,5 28°",14.43,6,Amari
14434,JAGERMEISTER AMARO LT.1 IMP 35°,14.67,6,Amari
66653,ARPA CACAO AMARO KG. 1,14.73,1,Amari
51848,RISTORA CACAO AMARO KG.1,14.99,10,Amari
25083,VECCHIO AMARO DEL CAPO LT.1 35°,15.45,6,Amari
91805,AMARO NIENTE  CL.70 30°,15.5,6,Amari
12859,BRANCA FERNET AMARO MENTA LT.1 28°,15.62,6,Amari
65314,AMARA LIQUORE AMARO DI ARANCIA CL50 30°,15.96,6,Amari
59601,QUAGLIA LIQUORE FERNET CL.70 40°,16.05,6,Amari
81083,ANGOSTURA AMARO DI ANGOSTURA CL.70 35%,16.05,6,Amari
14164,BRANCA FERNET AMARO LT.1 39°,16.16,6,Amari
92509,BOTANICA AMARO ZERO CL.50,16.5,6,Amari
35874,MONTENEGRO AMARO LT.1 23°,16.9,6,Amari
26488,AMARO ALPESTRE CL.70 44°,17.26,6,Amari
64012,AMARO VENTI CL.70 25°,18.26,6,Amari
17114,"AVERNA AMARO LT.1,5 29°",19.39,6,Amari
21871,CAMEO AROMA RUM X2,0.59,16,Rum
66411,RITTER SPORT RUM UVETTA NOCCIOLE GR100,1.49,12,Rum
1808,FALED RUM PASTICCERIA CL.50 38°,3.73,6,Rum
68275,GIOIA LUISA BABA' AL RUM GR530,6.21,6,Rum
73687,"DILMOOR ISLA ANTIGUA WHITE RUM LT1 37,5°",7.13,6,Rum
73688,"DILMOOR ISLA ANTIGUA DARK RUM LT.1 37,5°",7.39,6,Rum
86570,CAPTAIN MORGAN RUM SPICED CL 70 35°,9.09,6,Rum
1897,BACARDI RUM CARTA BLANCA CL.70 37.5°,9.14,6,Rum
23572,PAMPERO RUM ESPECIAL CL.70  40°,9.85,6,Rum
86283,HAVANA CLUB RUM 3Y ORIGINAL CL.70  37.5,10.19,6,Rum
39314,TIA MARIA RUM AL CAFFE' CL.70 20°,10.38,6,Rum
17067,PAMPERO RUM BLANCO LT.1,10.4,6,Rum
23522,BARBIERI PUNCH AL RUM LT.1,10.59,6,Rum
1895A,BACARDI RUM CARTA BLANCA LT.1 CTX6 37.5°,10.8,6,Rum
26170,SANTA TERESA RUM CLARO LT.1 40°,10.89,6,Rum
43136,BACARDI RUM ORO LT.1,11.58,6,Rum
54577,HAVANA CLUB RUM ANEJO ESPECIAL CL70 40°,11.97,6,Rum
59463,DILLON RUM WHITE CL.70 43° MARTINICA,13.06,6,Rum
23584,PAMPERO RUM ESPECIAL LT.1,13.42,6,Rum
24402,MATUSALEM RUM 7Y CL.70,14.08,6,Rum
17925,HAVANA CLUB RUM ORGINAL 3Y LT.1 37.5°,14.14,6,Rum
59111,SAILOR JERRY SPICED RUM CL.70 40°,14.16,6,Rum
35731,LEGENDARIO RUM ELIXIR CUBA 7Y CL.70,14.85,6,Rum
29025,STROH RUM ORIGINAL 80° CL.70,15.98,6,Rum
58119,KRAKEN RUM BLACK SPICED CL.70  40°,16.87,6,Rum
16340,"HAVANA CLUB RUM ESPECIAL NP LT1 37,5°",16.89,6,Rum
11595,HAVANA CLUB RUM 7Y CL.70  40°,17.5,6,Rum
15622,PAMPERO RUM ANNIVERSARIO CL.70  40°,18.31,6,Rum
59638,TROIS RIVIERES AMBRE' RUM AGRIC.CL.70 40,18.46,6,Rum
